C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB
27/02/2023 16.36.29;23000;R1.1;20,18;19,95;20,70652;9,357142;54,99546;38,91674;121,711;66;0
27/02/2023 16.36.59;23000;R1.1;20,17;19,95;21,0163;7,267857;57,01291;45,32112;111,533;66;0
27/02/2023 16.37.29;23000;R1.1;20,17;19,94;21,42935;6,770408;61,60114;52,06015;107,896;66;0
27/02/2023 16.37.59;23000;R1.1;20,16;19,95;21,73913;7,068877;64,80599;58,25682;107,8056;66;0
27/02/2023 16.38.30;23000;R1.1;20,16;19,96;22,04891;7,765306;66,20667;62,84952;111,4697;66;0
27/02/2023 16.39.00;24000;R1.1;20,16;19,97;22,15217;8,461735;67,11741;65,98824;112,6005;66;0
27/02/2023 16.39.30;24000;R1.1;20,16;19,97;22,25543;9,158163;66,40842;66,64599;114,4914;66;0
27/02/2023 16.40.00;24000;R1.1;20,17;19,98;22,25543;9,556122;66,28161;66,58253;113,9486;66;0
27/02/2023 16.40.30;24000;R1.1;20,17;19,99;22,25543;9,954082;66,38536;66,67484;112,4467;66;0
27/02/2023 16.41.00;24000;R1.1;20,17;20,01;22,25543;10,35204;66,22973;66,53637;111,3792;66;0
27/02/2023 16.41.30;24000;R1.1;20,18;20,02;22,15217;10,65051;66,20091;66,49021;110,2845;66;0
27/02/2023 16.42.00;24000;R1.1;20,18;20,03;22,15217;11,04847;66,20091;66,50751;109,416;66;0
27/02/2023 16.42.31;24000;R1.1;20,19;20,03;22,15217;11,44643;66,22973;66,51906;108,4841;66;0
27/02/2023 16.43.01;24000;R1.1;20,2;20,05;22,04891;11,7449;66,24702;66,55367;107,1361;66;0
27/02/2023 16.43.31;24000;R1.1;20,21;20,05;22,04891;12,14286;66,28161;66,58253;105,6976;66;0
27/02/2023 16.44.01;24000;R1.1;20,21;20,06;21,94565;12,44133;66,31043;66,62291;104,232;66;0
27/02/2023 16.44.31;24000;R1.1;20,22;20,07;21,94565;12,7398;66,32772;66,62868;102,7844;66;0
